url,title,description,image_urls
https://www.perm.kp.ru/daily/27370/4552660/,Мнение пермского экономиста: Пока на рынке слишком много истерики и нервов - KP.Ru,"Дмитрий Клещев рассказал, чем грозит пермякам повышение ключевой ставки",https://s14.stc.yc.kpcdn.net/share/i/12/12378686/wr-960.webp
https://www.perm.kp.ru/daily/theme/12360/,Новое на сайте KP.RU - KP.Ru,"Главные новости Перми и Пермского края на сегодня. Мы ежедневно публикуем самую актуальную информацию города. Репортажи, аналитика, мнение экспертов, происшествия, ситуация на дорогах, новости политики, экономики, культуры и спорта.",
https://www.perm.kp.ru/daily/collections/,Коллекции - KP.Ru,"Главные новости Перми и Пермского края на сегодня. Мы ежедневно публикуем самую актуальную информацию города. Репортажи, аналитика, мнение экспертов, происшествия, ситуация на дорогах, новости политики, экономики, культуры и спорта.",
https://www.perm.kp.ru/daily/biznesnews-perm/,"""Бизнес-новости"": Пермь - KP.Ru","Главные новости Перми и Пермского края на сегодня. Мы ежедневно публикуем самую актуальную информацию города. Репортажи, аналитика, мнение экспертов, происшествия, ситуация на дорогах, новости политики, экономики, культуры и спорта.",
https://www.perm.kp.ru/daily/press/,Новости Перми и Пермского края: главные новости на сегодня | Комсомольская Правда в Перми - KP.Ru,"Главные новости Перми и Пермского края на сегодня. Мы ежедневно публикуем самую актуальную информацию города. Репортажи, аналитика, мнение экспертов, происшествия, ситуация на дорогах, новости политики, экономики, культуры и спорта.",
https://www.perm.kp.ru/daily/theme/16008/,Клиника года -2021 - KP.Ru,"Главные новости Перми и Пермского края на сегодня. Мы ежедневно публикуем самую актуальную информацию города. Репортажи, аналитика, мнение экспертов, происшествия, ситуация на дорогах, новости политики, экономики, культуры и спорта.",
https://www.perm.kp.ru/daily/theme/16189/,Спецпроекты в Перми - KP.Ru,"Главные новости Перми и Пермского края на сегодня. Мы ежедневно публикуем самую актуальную информацию города. Репортажи, аналитика, мнение экспертов, происшествия, ситуация на дорогах, новости политики, экономики, культуры и спорта.",
https://www.perm.kp.ru/daily/theme/16190/,Конкурсы КП-Пермь - KP.Ru,"Главные новости Перми и Пермского края на сегодня. Мы ежедневно публикуем самую актуальную информацию города. Репортажи, аналитика, мнение экспертов, происшествия, ситуация на дорогах, новости политики, экономики, культуры и спорта.",
https://www.perm.kp.ru/daily/allcolumn/,Колумнисты - KP.Ru,"Главные новости Перми и Пермского края на сегодня. Мы ежедневно публикуем самую актуальную информацию города. Репортажи, аналитика, мнение экспертов, происшествия, ситуация на дорогах, новости политики, экономики, культуры и спорта.",
https://www.perm.kp.ru/daily/theme/15274/,Коронавирус в Перми и Пермском крае - KP.Ru,"Главные новости Перми и Пермского края на сегодня. Мы ежедневно публикуем самую актуальную информацию города. Репортажи, аналитика, мнение экспертов, происшествия, ситуация на дорогах, новости политики, экономики, культуры и спорта.",
https://www.perm.kp.ru/daily/science/,"Новости науки: открытия, исследования, интересные теории - KP.Ru","Новости науки: открытия, исследования, интересные теории",
https://www.perm.kp.ru/daily/televizor/,Телевизор - KP.Ru,"Все об отечественном и зарубежном телевидении. Звезды телеэкрана. Новые телепроекты, телепремьеры и новости телеканалов. Рецензии на вышедшие в эфир телепрограммы. Интервью со звездами. Личная жизнь героев телеэкрана. Эксклюзивы и закулисье съемок.",
https://www.perm.kp.ru/daily/right-benefits/,Наши права и льготы - KP.Ru,"Главные новости Перми и Пермского края на сегодня. Мы ежедневно публикуем самую актуальную информацию города. Репортажи, аналитика, мнение экспертов, происшествия, ситуация на дорогах, новости политики, экономики, культуры и спорта.",
https://www.perm.kp.ru/daily/unrest/,В мире - KP.Ru,"Все о&nbsp;большой политике. Международная обстановка. Главные события на&nbsp;мировой политической арене. Европа, Америка, Азия и&nbsp;Африка. Евросоюз. СНГ. США. Страны БРИК. ОПЕК. ООН. НАТО. Зарубежные визиты. Договоры. Войны, вооруженные конфликты и&n",
https://www.perm.kp.ru/daily/theme/15447/,Куда пойти в Перми - KP.Ru,"Главные новости Перми и Пермского края на сегодня. Мы ежедневно публикуем самую актуальную информацию города. Репортажи, аналитика, мнение экспертов, происшествия, ситуация на дорогах, новости политики, экономики, культуры и спорта.",
https://www.perm.kp.ru/daily/koronavirus/,"Распространение коронавируса Covid-19 в России и мире - ""Комсомольская правда"" - KP.RU - KP.Ru","Коронавирус Covid-19 в России и мире, последние новости: количество заболевших и выздоровевших, ситуация в разных странах, карантин, профилактические меры, симптомы и лечение болезни",
